series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Protein (g/person/day),65.10885,67.641235,65.992775,66.35969,65.77967,68.78724,67.16979,65.38343,63.15,65.59017,68.27823,69.791695,66.925385,66.525475,66.886925,69.262665,69.13717,67.389725,67.042755,70.11999,70.44804
Protein (g/person/day),102.74163,105.72025,97.17999,104.87809,110.97857,120.294556,114.91764,117.528366,112.393875,115.73094,108.10732,104.41674,98.7731,100.58206,99.163506,99.43435,97.61295,98.742546,96.28619,97.64818,102.34596
Protein (g/person/day),83.42361,84.6713,83.83377,85.74413,84.36578,84.876205,77.55525,78.3465,79.48007,82.23153,83.9534,84.6532,86.70647,85.04976,86.10037,84.78626,84.17184,84.36681,86.79835,85.71183,87.857346
Protein (g/person/day),55.597717,56.209145,58.811924,58.915295,59.152058,60.82907,60.183533,60.813225,60.070698,63.435257,63.029324,65.60383,65.23418,68.2071,74.83991,75.69872,75.45995,75.422676,76.275475,75.80947,77.05572
Protein (g/person/day),76.26726,77.74738,80.94036,85.59275,85.83272,85.56165,90.47515,92.79209,95.46582,96.16037,95.84701,96.33532,92.37542,92.2933,99.16873,95.14806,103.317375,102.167816,95.721085,97.08043,96.116745
Protein (g/person/day),68.898125,70.21716,72.20721,71.919174,72.93015,72.921005,72.396,71.7802,71.51361,71.032974,76.885635,78.06515,80.230515,76.80115,71.53752,72.170975,75.575874,77.618835,81.17832,82.751175,82.93569
Protein (g/person/day),63.93653,65.153244,66.52818,67.145134,68.423775,69.93266,72.45606,71.791725,71.28797,72.48148,75.89283,76.02208,75.18781,67.69047,62.559994,60.248047,61.014725,61.749325,61.58959,55.5736,53.639313
Protein (g/person/day),39.406002,34.811337,34.04526,34.06336,35.690956,36.210682,33.405247,34.262623,35.993324,36.144775,35.416214,36.83481,35.93907,36.61441,39.389835,39.025394,40.927284,42.092842,40.587105,41.210033,40.679424
Protein (g/person/day),,,,,,,,,,,77.56103,78.7016,88.412735,88.83565,86.53402,86.14005,86.96024,82.986465,87.1453,83.67242,85.64915
Protein (g/person/day),101.87003,101.463585,105.282524,105.12674,113.71332,116.92183,115.877106,122.97291,123.891975,123.885635,111.77258,111.38813,114.11812,116.368355,119.42815,120.91011,123.316345,124.34164,121.481636,119.48685,122.75198
Protein (g/person/day),99.24332,107.184525,105.85226,107.02821,106.74079,108.42412,108.35144,107.83171,107.80629,108.11692,110.48117,113.474655,114.24194,111.21775,111.543945,111.75401,110.59813,109.04975,108.19779,107.984474,109.605896
Protein (g/person/day),71.31585,74.049126,76.521935,79.38898,81.918785,83.451706,85.12164,88.28991,88.35901,85.98649,91.04278,95.780945,94.20387,93.87474,105.28268,103.99234,100.77867,107.05721,106.33392,100.05403,96.966
Protein (g/person/day),45.322956,44.074192,43.7654,44.82415,45.033375,46.746517,47.04967,47.355747,46.12229,46.14176,46.1759,46.069942,45.499203,43.774494,42.96976,41.99106,42.267765,42.260803,41.652885,37.897705,36.60391
Protein (g/person/day),56.850082,57.413395,56.707523,57.11481,56.853127,57.260265,59.89372,61.865852,62.50906,61.608627,67.323845,67.3019,69.37525,68.8129,65.21745,67.91341,68.392494,68.91639,70.377655,70.67483,70.173546
Protein (g/person/day),77.964005,76.03873,76.9762,76.19401,78.02767,78.515305,78.56563,78.88041,74.78755,77.34106,75.32879,75.583534,76.5112,77.450134,76.89619,76.71799,76.58009,75.84661,74.48171,77.46871,79.84267
Protein (g/person/day),94.69772,98.50409,100.20938,84.937294,82.39904,96.29435,79.34198,89.83235,87.67841,92.75269,107.032875,106.21125,106.053925,107.9081,105.35086,101.813286,100.164085,85.62566,85.11625,86.032936,84.12002
Protein (g/person/day),62.200863,62.354008,62.67031,64.65367,64.889404,66.54244,66.825386,69.22023,70.163246,72.39214,81.5189,82.37402,80.45286,79.705505,78.36106,76.38807,76.92242,77.08159,77.02288,74.09241,73.12573
Protein (g/person/day),111.74694,109.94793,111.77269,113.38641,113.118996,111.43432,112.70654,116.72471,114.454254,111.49448,108.92986,109.090485,107.12145,108.26702,111.47566,106.707054,105.91516,106.077576,98.3305,90.80271,92.9492
Protein (g/person/day),73.99473,78.01537,81.24132,84.75232,80.102715,82.535995,79.96143,83.938515,83.77152,83.439026,81.19208,82.47294,80.16271,82.25544,84.23174,84.54489,84.505066,83.198975,85.2719,86.5115,85.859344
Protein (g/person/day),76.561646,77.7566,79.63704,80.52555,82.51523,80.96309,79.99938,83.25748,81.04817,86.0139,83.67994,83.614685,82.68079,84.32151,84.15917,84.74082,83.752365,84.82684,85.944496,86.37938,85.36086
Protein (g/person/day),91.37873,92.91437,92.9579,92.16942,91.88668,91.42743,92.32701,92.92851,92.43812,91.07356,89.62593,88.59271,88.9312,90.17589,90.88759,91.096924,91.67825,91.91744,93.20809,93.95394,93.31378
Protein (g/person/day),,,,,,,,,,,,,,,,,,,,68.46459,68.661766
Protein (g/person/day),65.417244,66.322235,67.94195,65.53947,68.11327,71.3412,70.3286,67.939445,68.75386,65.64007,78.92758,81.00964,81.03893,83.061714,86.14902,87.161446,90.05368,91.16926,92.47081,90.773544,89.863014
Protein (g/person/day),79.83193,75.67479,72.96814,71.76057,73.4258,71.98114,72.05365,75.58987,79.23304,82.08226,71.680466,75.833275,79.40764,82.9402,84.8529,92.515884,93.43844,92.9865,97.33441,101.84059,108.66798
Protein (g/person/day),,,,,,,98.59499,103.76101,108.1798,107.670166,106.447685,109.70622,105.73867,107.69217,105.97598,107.88092,111.40699,112.126366,112.96777,113.34448,112.25342
Protein (g/person/day),82.00438,85.12663,87.14729,87.97914,89.528854,87.83518,91.215485,87.87912,88.46664,89.60583,93.91613,96.11317,96.57993,97.1079,98.786446,99.65269,99.92328,99.92852,101.55605,100.10938,99.809746
Protein (g/person/day),37.50134,36.539482,40.11792,41.689598,41.917027,41.705803,45.2332,45.288998,45.639427,45.448284,49.10631,50.806046,52.746376,48.233578,43.802086,41.877785,40.10237,42.62837,49.480984,43.83612,44.30944
Protein (g/person/day),53.476868,55.062405,56.84911,59.503857,62.804108,64.76023,69.173515,71.64962,75.72741,79.67192,87.05165,87.062874,89.153564,89.98895,94.23848,96.43115,97.40661,97.96892,98.68457,99.0625,98.85247
Protein (g/person/day),70.592766,70.11867,65.19302,67.0906,65.70616,65.863655,65.15843,66.41846,66.388275,62.603065,61.37128,62.909122,63.840584,62.808914,63.0925,64.4084,65.431465,66.616196,67.13047,65.130165,68.51711
Protein (g/person/day),,,,,,,,,,,,,,,,,,,,88.52481,84.7343
Protein (g/person/day),54.11912,54.50227,54.82414,56.638325,58.20315,59.7441,59.177006,60.32477,61.468742,62.986412,63.441074,65.17673,66.162346,67.48528,69.003784,69.93877,71.76537,72.57438,73.49561,75.61848,74.90546
Protein (g/person/day),106.98599,108.564705,101.90445,97.708916,105.22193,105.30947,108.93474,106.354836,108.2836,110.85601,107.88623,106.78274,111.64377,111.21099,108.079216,106.968834,106.69826,101.32158,102.551216,105.675095,110.66445
Protein (g/person/day),65.95339,64.384575,59.440037,59.542484,57.671803,59.03036,58.353146,57.728405,58.230404,59.97393,,,,,,,,,,,
Protein (g/person/day),73.8964,78.148224,76.82652,77.2911,76.4877,76.99943,76.726685,79.295044,76.24505,79.484566,83.56395,85.24141,85.779884,84.85318,85.342354,82.12121,83.71034,84.46631,85.01617,90.85682,91.30833
Protein (g/person/day),87.952324,90.684166,91.01825,91.86412,93.31476,92.21717,94.03265,94.67732,94.53256,92.41001,88.056656,97.1393,91.96799,94.72288,92.76256,92.00662,95.77318,91.330444,96.378845,93.8955,88.98172
