series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fat (g/person/day),78.3063,77.37777,73.37945,74.390015,75.91397,77.11559,76.45539,83.83603,83.89145,93.444725,100.0024,104.87644,106.34898,114.25044,109.67678,129.13191,122.84286,127.11341,127.34126,135.29524,134.47165
Fat (g/person/day),,,,,,,114.367455,115.408455,118.5802,121.919624,126.857155,131.70682,130.67767,132.48724,134.74103,134.88083,137.40724,138.94653,141.43102,141.3668,138.44223
Fat (g/person/day),60.819584,60.649967,59.35859,61.33603,59.11927,60.434326,61.385372,63.587177,62.47754,64.51033,67.904144,65.217865,67.31691,66.50735,68.99577,66.40848,69.11685,68.30151,71.76213,75.566765,76.308525
Fat (g/person/day),39.8156,38.14788,39.632202,37.391167,37.38181,40.45837,38.50808,38.20445,40.898346,38.087017,41.53894,43.07978,44.41052,42.969894,39.3502,39.480164,37.128105,42.387703,43.646717,40.276688,38.835922
Fat (g/person/day),40.38961,40.54769,43.463497,45.230118,49.44467,52.678802,54.345367,60.349773,65.351776,70.91296,78.14876,79.36218,80.43068,83.01711,82.77345,85.05261,85.293396,85.89126,90.4651,98.09449,98.78117
Fat (g/person/day),54.22267,54.04785,48.853294,52.332108,57.846622,53.64718,55.030712,55.752193,54.89381,51.348812,49.349373,50.638863,52.478092,51.600998,54.58018,56.193825,57.444096,58.801113,56.67981,57.881016,59.094986
Fat (g/person/day),,,,,,,,,,,,,,,,,,,,150.45943,139.9085
Fat (g/person/day),35.531895,36.47387,37.269375,39.344105,39.341995,40.24957,39.14846,41.906773,45.767113,48.342297,53.13774,53.474266,55.606,55.96412,55.58121,55.986237,61.255962,63.04422,60.801186,61.48901,61.20506
Fat (g/person/day),145.81018,143.43556,143.81514,130.40195,133.64568,140.43602,132.84822,132.04573,133.04846,127.17044,124.98405,122.01032,123.61271,124.54478,126.24354,127.22552,129.10886,125.19045,137.55739,132.2514,137.97676
Fat (g/person/day),59.168037,55.47067,52.77069,51.772247,49.66724,52.50076,50.927876,51.279545,49.844257,52.366447,,,,,,,,,,,
Fat (g/person/day),103.18577,107.00047,110.92539,108.89307,112.200195,107.43226,108.95114,108.90648,105.840294,110.75455,119.40482,116.92346,116.45747,116.305405,108.973274,108.949196,110.09132,109.9981,112.69311,114.65596,117.88344
Fat (g/person/day),114.29099,112.85297,115.49113,114.09997,117.72031,118.945045,118.59208,121.31974,121.37402,116.76333,117.194374,133.67117,121.195526,126.544235,115.692635,114.063286,113.76808,112.78849,116.101616,112.87715,116.67
